product_id,product_name,category,supplier_id,quantity,unit_price,reorder_level,discontinued,date_added,last_order_date,warehouse_location
P00001,Note,Clothing,176,191,140.6,25,0,2024-08-31,2025-06-22,A1
P00002,Prepare,Electronics,111,226,222.37,39,1,2025-06-11,2024-12-03,C3
P00003,Data,Clothing,141,152,271.37,52,0,2024-04-23,2025-03-22,E5
P00004,True,Furniture,198,6,232.21,26,0,2024-12-04,2024-10-18,D4
P00005,Make,Stationery,146,48,226.68,94,0,2024-10-16,2024-10-23,A1
P00006,Under,Stationery,176,93,144.35,57,0,2024-01-15,2024-11-15,D4
P00007,Rule,Stationery,139,461,473.05,74,1,2023-10-05,2024-09-27,A1
P00008,Deep,Electronics,100,163,177.97,79,1,2023-09-26,2025-02-17,E5
P00009,Discussion,Clothing,195,421,328.91,69,0,2024-11-09,2025-01-03,A1
P00010,Individual,Groceries,146,263,495.83,32,0,2023-11-06,2025-04-30,C3
P00011,Term,Electronics,133,29,441.71,77,1,2023-11-03,2025-04-30,E5
P00012,Every,Electronics,186,297,36.99,78,1,2024-01-04,2025-01-31,B2
P00013,Executive,Stationery,175,347,158.93,77,0,2025-03-27,2024-12-21,B2
P00014,Late,Stationery,195,100,296.37,17,1,2025-06-15,2024-11-27,C3
P00015,Sense,Furniture,177,172,48.04,64,0,2023-10-30,2025-01-30,C3
P00016,International,Electronics,182,485,367.11,44,0,2023-12-23,2025-03-22,B2
P00017,Clear,Groceries,197,320,474.38,57,1,2024-08-14,2025-04-02,B2
P00018,Myself,Groceries,199,406,191.14,67,0,2024-04-13,2024-12-08,B2
P00019,Discuss,Furniture,134,274,412.31,25,1,2024-04-26,2024-06-25,B2
P00020,Say,Groceries,190,495,155.55,11,1,2025-04-19,2025-02-23,A1
P00021,Against,Clothing,136,69,469.37,63,1,2025-05-27,2024-11-28,B2
P00022,Travel,Stationery,157,21,86.51,33,0,2024-10-27,2025-03-01,A1
P00023,Necessary,Clothing,185,258,43.55,14,0,2023-11-20,2024-11-19,B2
P00024,Center,Furniture,128,22,175.78,70,1,2024-03-25,2025-03-07,C3
P00025,Hotel,Stationery,115,480,291.2,85,1,2023-12-13,2025-03-15,B2
P00026,Less,Electronics,111,437,261.85,36,1,2024-08-23,2024-11-23,B2
P00027,Upon,Electronics,141,167,180.13,10,0,2025-05-10,2025-05-22,B2
P00028,Traditional,Electronics,174,395,227.62,80,1,2023-12-14,2025-02-01,D4
P00029,Fight,Electronics,175,375,181.14,85,0,2023-10-14,2024-10-25,E5
P00030,Interview,Stationery,116,207,355.56,92,1,2025-02-02,2025-06-16,C3
P00031,Old,Stationery,175,311,397.83,29,0,2024-01-05,2024-08-15,B2
P00032,Could,Clothing,174,467,122.3,54,0,2025-02-22,2024-09-23,D4
P00033,Article,Stationery,108,132,114.54,31,1,2023-10-29,2024-08-15,B2
P00034,Some,Electronics,144,442,342.49,45,1,2024-08-04,2024-10-29,C3
P00035,Information,Clothing,161,59,447.35,25,1,2023-10-22,2024-11-02,B2
P00036,Pm,Clothing,118,413,458.41,46,1,2024-12-06,2025-01-26,E5
P00037,This,Groceries,153,317,310.9,16,0,2024-02-21,2025-02-17,B2
P00038,Sense,Stationery,105,141,247.3,49,1,2024-08-30,2025-01-28,E5
P00039,Thing,Furniture,198,232,77.84,37,0,2023-09-21,2024-10-17,C3
P00040,Game,Electronics,126,413,288.77,94,1,2025-03-08,2024-10-31,B2
